"C:\Program Files\Java\jdk-9.0.1\bin\java" -Dvisualvm.id=616500452319959 -Xms1024m -Xmx4096m "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\lib\idea_rt.jar=57481:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\out\production\BasicClassifier;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\libsvm.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\neuroph-core-2.94.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\libs\slf4j-api-1.7.5.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\libs\logback-classic-1.0.13.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\libs\logback-core-1.1.2.jar me.mostly.ml.test.sp500.NNMain data/sp500/transposed.csv report-3/optimized.nnet
Odd val: NFLX, [249 (1/9/02)] = -0.999083019
Odd val: NFLX, [255 (1/17/02)] = -1.337014634
Odd val: NFLX, [256 (1/18/02)] = 1.036696108
Odd val: NFLX, [260 (1/25/02)] = -0.568409397
Odd val: NFLX, [271 (2/11/02)] = -1.461899139
Odd val: NFLX, [275 (2/15/02)] = -1.005522505
Odd val: NFLX, [279 (2/22/02)] = -0.947660838
Odd val: NFLX, [282 (2/27/02)] = -0.679656888
Odd val: NFLX, [284 (3/1/02)] = 1.301465346
Odd val: NFLX, [294 (3/15/02)] = -0.806054228
Odd val: NFLX, [296 (3/19/02)] = -0.939139222
Odd val: NFLX, [299 (3/22/02)] = -0.85616643
Odd val: NFLX, [301 (3/26/02)] = -0.763608566
Odd val: NFLX, [304 (4/1/02)] = -0.85616643
Odd val: NFLX, [306 (4/3/02)] = -0.516124451
Odd val: NFLX, [307 (4/4/02)] = 1.232432747
Odd val: NFLX, [309 (4/8/02)] = -0.954656601
Odd val: NFLX, [314 (4/15/02)] = 1.006073131
Odd val: NFLX, [320 (4/23/02)] = -1.5049402
Odd val: NFLX, [321 (4/24/02)] = 1.455390068
Odd val: NFLX, [322 (4/25/02)] = -1.224501908
Odd val: NFLX, [323 (4/26/02)] = 1.059589999
Odd val: NFLX, [325 (4/30/02)] = 1.394262131
